Date : 2023-04-25 22:58:23
Directory : d:\golang\src\MGA_OJ
Total : 264 files,  27491 codes, 10541 comments, 9003 blanks, all 47035 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\golang\src\MGA_OJ\routes\remarkRoutes.go                            | Go               |         24 |         24 |         20 |         68 |
| d:\golang\src\MGA_OJ\routes\replyRoutes.go                             | Go               |         24 |         24 |         20 |         68 |
| d:\golang\src\MGA_OJ\routes\setRoutes.go                               | Go               |         54 |         54 |         50 |        158 |
| d:\golang\src\MGA_OJ\routes\testRoutes.go                              | Go               |         11 |         12 |          8 |         31 |
| d:\golang\src\MGA_OJ\routes\threadRoutes.go                            | Go               |         24 |         24 |         20 |         68 |
| d:\golang\src\MGA_OJ\routes\topicRoutes.go                             | Go               |         41 |         41 |         37 |        119 |
| d:\golang\src\MGA_OJ\routes\userRoutes.go                              | Go               |         39 |         39 |         35 |        113 |
| d:\golang\src\MGA_OJ\seccomp\main.go                                   | Go               |         44 |          5 |          9 |         58 |
| d:\golang\src\MGA_OJ\seccomp\seccomp.go                                | Go               |         96 |          2 |          4 |        102 |
| d:\golang\src\MGA_OJ\selfInspection\Img.go                             | Go               |         21 |          0 |          3 |         24 |
| d:\golang\src\MGA_OJ\selfInspection\Judge.go                           | Go               |        231 |          1 |         30 |        262 |
| d:\golang\src\MGA_OJ\selfInspection\MGA.go                             | Go               |         12 |          0 |          3 |         15 |
| d:\golang\src\MGA_OJ\selfInspection\Test.go                            | Go               |        301 |          1 |         47 |        349 |
| d:\golang\src\MGA_OJ\timer\HotStatistics.go                            | Go               |         72 |          0 |         15 |         87 |
| d:\golang\src\MGA_OJ\timer\SetRank.go                                  | Go               |         14 |          0 |          3 |         17 |
| d:\golang\src\MGA_OJ\timer\TimedTask.go                                | Go               |         16 |          2 |          3 |         21 |
| d:\golang\src\MGA_OJ\util\util.go                                      | Go               |        295 |         92 |         65 |        452 |
| d:\golang\src\MGA_OJ\vo\Article.go                                     | Go               |          9 |          5 |          3 |         17 |
| d:\golang\src\MGA_OJ\vo\Chat.go                                        | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Comment.go                                     | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Competition.go                                 | Go               |         20 |          5 |          4 |         29 |
| d:\golang\src\MGA_OJ\vo\Exam.go                                        | Go               |         15 |          5 |          4 |         24 |
| d:\golang\src\MGA_OJ\vo\FriendApply.go                                 | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Group.go                                       | Go               |         12 |          5 |          3 |         20 |
| d:\golang\src\MGA_OJ\vo\GroupApply.go                                  | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Hack.go                                        | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\Labels.go                                      | Go               |          4 |          5 |          1 |         10 |
| d:\golang\src\MGA_OJ\vo\Letter.go                                      | Go               |          6 |          5 |          2 |         13 |
| d:\golang\src\MGA_OJ\vo\Message.go                                     | Go               |          4 |          5 |          2 |         11 |
| d:\golang\src\MGA_OJ\vo\Notice.go                                      | Go               |          7 |          5 |          2 |         14 |
| d:\golang\src\MGA_OJ\vo\PairString.go                                  | Go               |          5 |          5 |          2 |         12 |
| d:\golang\src\MGA_OJ\vo\Post.go                                        | Go               |          7 |          5 |          2 |         14 |
| d:\golang\src\MGA_OJ\vo\Problem.go                                     | Go               |         27 |          5 |          3 |         35 |
